# BIN_CENTER_V:     AVE_POFV:        ERROR:
       0.0353553               0               0
        0.106066     0.000972272     0.000472743
        0.176777       0.0182743       0.0080122
        0.247487       0.0366812       0.0107527
        0.318198       0.0411006      0.00972438
        0.388909       0.0546682       0.0118411
        0.459619        0.114982       0.0380266
         0.53033       0.0858582       0.0155226
        0.601041        0.123081        0.028469
        0.671751        0.149498        0.026798
        0.742462        0.224087       0.0383647
        0.813173        0.305249       0.0517123
        0.883883        0.218662       0.0290147
        0.954594        0.194996       0.0287738
          1.0253        0.248681       0.0368193
         1.09602        0.408896        0.054645
         1.16673        0.318795       0.0368413
         1.23744        0.322783       0.0445465
         1.30815        0.421502       0.0379574
         1.37886        0.452537       0.0517621
         1.44957        0.406211       0.0486524
         1.52028        0.395626       0.0430833
         1.59099        0.416939       0.0503647
          1.6617        0.400918       0.0514996
         1.73241        0.468944       0.0550889
         1.80312        0.474568       0.0619866
         1.87383        0.422828       0.0350642
         1.94454        0.497858       0.0504338
         2.01525        0.404167       0.0333007
         2.08597        0.409172       0.0381102
         2.15668        0.541003       0.0648874
         2.22739        0.421933       0.0416926
          2.2981        0.471695       0.0481849
         2.36881        0.442461       0.0427666
         2.43952        0.444903       0.0516506
         2.51023        0.429446       0.0506599
         2.58094        0.433136       0.0459903
         2.65165        0.301559       0.0372659
         2.72236        0.260867       0.0362426
         2.79307        0.257652       0.0434054
         2.86378        0.189151       0.0260408
         2.93449         0.19599       0.0288909
          3.0052        0.244394       0.0339378
         3.07591        0.128649       0.0179467
         3.14663        0.171672       0.0270003
         3.21734        0.101337       0.0179701
         3.28805        0.138803       0.0301936
         3.35876        0.148305        0.033017
         3.42947        0.068733       0.0159668
         3.50018       0.0943546       0.0208843
         3.57089        0.110231       0.0197402
          3.6416        0.123887       0.0336831
         3.71231       0.0691528       0.0174297
         3.78302       0.0354106      0.00956212
         3.85373       0.0249476      0.00817953
         3.92444       0.0250581      0.00811722
         3.99515       0.0573419       0.0264875
         4.06586        0.034151      0.00939361
         4.13657       0.0412221       0.0130851
         4.20729       0.0325711       0.0129416
           4.278       0.0268811      0.00884965
         4.34871       0.0136118       0.0052724
         4.41942       0.0111701      0.00460602
         4.49013       0.0100431      0.00492548
         4.56084      0.00187825      0.00109715
         4.63155               0               0
         4.70226               0               0
         4.77297               0               0
         4.84368               0               0
         4.91439               0               0
          4.9851               0               0
         5.05581               0               0
         5.12652               0               0
         5.19723               0               0
         5.26795               0               0
         5.33866               0               0
         5.40937               0               0
         5.48008               0               0
         5.55079               0               0
          5.6215               0               0
         5.69221               0               0
         5.76292               0               0
         5.83363               0               0
         5.90434               0               0
         5.97505               0               0
         6.04576               0               0
         6.11647               0               0
         6.18718               0               0
          6.2579               0               0
         6.32861               0               0
         6.39932               0               0
         6.47003               0               0
         6.54074               0               0
         6.61145               0               0
         6.68216               0               0
         6.75287               0               0
         6.82358               0               0
         6.89429               0               0
           6.965               0               0
         7.03571               0               0
