#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.372265   -0.372265           0
           2   -0.413909   -0.393087   0.0147232
           3   -0.396165   -0.394113  0.00985112
           4    -0.32245   -0.376197   0.0171849
           5   -0.306958   -0.362349   0.0185045
           6   -0.319675   -0.355237   0.0167315
           7   -0.181724   -0.330449   0.0270614
           8   -0.292141   -0.325661   0.0240987
           9   -0.298443   -0.322637     0.02161
          10   -0.353827   -0.325756   0.0196728
          11   -0.412101   -0.333605   0.0193872
          12   -0.395938     -0.3388   0.0184544
          13   -0.402374    -0.34369   0.0176709
          14   -0.338243   -0.343301   0.0164129
          15   -0.428885   -0.349006   0.0162803
          16   -0.498998   -0.358381   0.0177578
          17    -0.53129   -0.368552   0.0194087
          18   -0.459867   -0.373625   0.0189819
          19    -0.41445   -0.375774    0.018104
          20    -0.37856   -0.375913   0.0171994
