#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.47802     1.47802           0
           2     1.50579      1.4919  0.00981614
           3     1.49404     1.49262  0.00656983
           4     1.44488     1.48068   0.0114491
           5     1.43453     1.47145   0.0123307
           6      1.4431     1.46673   0.0111442
           7     1.35104      1.4502   0.0180373
           8     1.42469     1.44701   0.0160621
           9      1.4289       1.445   0.0144029
          10     1.46563     1.44706   0.0131095
          11     1.50448     1.45228   0.0129153
          12     1.49381     1.45574    0.012294
          13     1.49811       1.459   0.0117722
          14     1.45544     1.45875   0.0109341
          15     1.51585     1.46255   0.0108476
          16      1.5625      1.4688   0.0118323
          17     1.58399     1.47558   0.0129316
          18     1.53636     1.47895   0.0126464
          19     1.50609     1.48038   0.0120612
          20     1.48219     1.48047   0.0114585
