# BIN_CENTER_V:     AVE_POFV:        ERROR:
       0.0262202      0.00121831     0.000358783
       0.0786607       0.0105587      0.00224508
        0.131101       0.0282507      0.00266622
        0.183542       0.0599092      0.00465314
        0.235982       0.0946223      0.00377238
        0.288422        0.139629      0.00542994
        0.340863        0.186243      0.00556323
        0.393303        0.250284       0.0103826
        0.445744        0.301594      0.00660349
        0.498184        0.371727      0.00535409
        0.550625        0.435662       0.0150935
        0.603065        0.493223       0.0130088
        0.655506        0.562102       0.0182077
        0.707946        0.608874       0.0164295
        0.760386        0.640127       0.0135837
        0.812827         0.70113       0.0151604
        0.865267        0.739728       0.0151012
        0.917708        0.768897       0.0195429
        0.970148        0.773929       0.0156097
         1.02259        0.794075        0.014985
         1.07503        0.772393       0.0154195
         1.12747         0.78131       0.0199418
         1.17991        0.752123       0.0142895
         1.23235        0.749245       0.0224656
         1.28479        0.711672       0.0150976
         1.33723        0.674275       0.0114256
         1.38967        0.654782       0.0128921
         1.44211        0.618532       0.0134299
         1.49455        0.565721       0.0105086
         1.54699        0.534451       0.0113213
         1.59943        0.508725       0.0140835
         1.65187        0.492022       0.0136437
         1.70431        0.445673       0.0117953
         1.75675        0.387106       0.0118355
          1.8092        0.344518       0.0112052
         1.86164        0.325042       0.0113063
         1.91408        0.274191      0.00580422
         1.96652        0.235134       0.0115134
         2.01896        0.212693      0.00893057
          2.0714        0.169628      0.00797693
         2.12384        0.148917      0.00680584
         2.17628        0.134191      0.00518368
         2.22872        0.101809      0.00554191
         2.28116       0.0911969      0.00573043
          2.3336       0.0765242      0.00302288
         2.38604       0.0631581      0.00248754
         2.43848       0.0530231       0.0025121
         2.49092       0.0391096      0.00381019
         2.54336       0.0337243      0.00282552
          2.5958       0.0306697      0.00320225
         2.64824       0.0254963      0.00373607
         2.70068       0.0216118      0.00183089
         2.75312       0.0174978      0.00175601
         2.80556       0.0129071      0.00151343
           2.858       0.0112473       0.0015279
         2.91044       0.0126775      0.00219111
         2.96288      0.00783958      0.00148152
         3.01533      0.00527936     0.000877683
         3.06777      0.00464372      0.00238373
         3.12021      0.00245428     0.000890728
         3.17265       0.0034254       0.0012213
         3.22509     0.000406104     0.000291256
         3.27753     0.000423761     0.000402015
         3.32997               0               0
         3.38241               0               0
         3.43485               0               0
         3.48729               0               0
         3.53973               0               0
         3.59217               0               0
         3.64461               0               0
         3.69705               0               0
         3.74949               0               0
         3.80193               0               0
         3.85437               0               0
         3.90681               0               0
         3.95925               0               0
         4.01169               0               0
         4.06413               0               0
         4.11657               0               0
         4.16902               0               0
         4.22146               0               0
          4.2739               0               0
         4.32634               0               0
         4.37878               0               0
         4.43122               0               0
         4.48366               0               0
          4.5361               0               0
         4.58854               0               0
         4.64098               0               0
         4.69342               0               0
         4.74586               0               0
          4.7983               0               0
         4.85074               0               0
         4.90318               0               0
         4.95562               0               0
         5.00806               0               0
          5.0605               0               0
         5.11294               0               0
         5.16538               0               0
         5.21782               0               0
